Title,Proprietary_ID,Print_ISSN,URI,Online_ISSN,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
Politics and the Life Sciences,CUP:PLS,0730-9384,https://www.cambridge.org/core/product/identifier/PLS/type/journal,1471-5457,Controlled,Total_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Politics and the Life Sciences,CUP:PLS,0730-9384,https://www.cambridge.org/core/product/identifier/PLS/type/journal,1471-5457,Controlled,Total_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Politics and the Life Sciences,CUP:PLS,0730-9384,https://www.cambridge.org/core/product/identifier/PLS/type/journal,1471-5457,Controlled,Unique_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Politics and the Life Sciences,CUP:PLS,0730-9384,https://www.cambridge.org/core/product/identifier/PLS/type/journal,1471-5457,Controlled,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
European Journal of Risk Regulation,CUP:ERR,1867-299X,https://www.cambridge.org/core/product/identifier/ERR/type/journal,2190-8249,Controlled,Total_Item_Investigations,2,0,0,0,0,2,0,0,0,0,0,0,0
European Journal of Risk Regulation,CUP:ERR,1867-299X,https://www.cambridge.org/core/product/identifier/ERR/type/journal,2190-8249,Controlled,Unique_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
The British Journal of Psychiatry,CUP:BJP,0007-1250,https://www.cambridge.org/core/product/identifier/BJP/type/journal,1472-1465,OA_Gold,Total_Item_Investigations,3,0,0,0,0,1,0,0,0,0,0,2,0
The British Journal of Psychiatry,CUP:BJP,0007-1250,https://www.cambridge.org/core/product/identifier/BJP/type/journal,1472-1465,OA_Gold,Unique_Item_Investigations,3,0,0,0,0,1,0,0,0,0,0,2,0
The British Journal of Psychiatry,CUP:BJP,0007-1250,https://www.cambridge.org/core/product/identifier/BJP/type/journal,1472-1465,OA_Gold,Total_Item_Requests,2,0,0,0,0,0,0,0,0,0,0,2,0
The British Journal of Psychiatry,CUP:BJP,0007-1250,https://www.cambridge.org/core/product/identifier/BJP/type/journal,1472-1465,OA_Gold,Unique_Item_Requests,2,0,0,0,0,0,0,0,0,0,0,2,0
Leiden Journal of International Law,CUP:LJL,0922-1565,https://www.cambridge.org/core/product/identifier/LJL/type/journal,1478-9698,Controlled,Total_Item_Investigations,18,0,0,0,0,2,4,0,2,2,0,4,4
Leiden Journal of International Law,CUP:LJL,0922-1565,https://www.cambridge.org/core/product/identifier/LJL/type/journal,1478-9698,Controlled,Unique_Item_Investigations,17,0,0,0,0,2,4,0,2,2,0,3,4
Leiden Journal of International Law,CUP:LJL,0922-1565,https://www.cambridge.org/core/product/identifier/LJL/type/journal,1478-9698,Controlled,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,1,0
Leiden Journal of International Law,CUP:LJL,0922-1565,https://www.cambridge.org/core/product/identifier/LJL/type/journal,1478-9698,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,1,0
International Theory,CUP:INT,1752-9719,https://www.cambridge.org/core/product/identifier/INT/type/journal,1752-9727,Controlled,Total_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
International Theory,CUP:INT,1752-9719,https://www.cambridge.org/core/product/identifier/INT/type/journal,1752-9727,Controlled,Total_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
International Theory,CUP:INT,1752-9719,https://www.cambridge.org/core/product/identifier/INT/type/journal,1752-9727,Controlled,Unique_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
International Theory,CUP:INT,1752-9719,https://www.cambridge.org/core/product/identifier/INT/type/journal,1752-9727,Controlled,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of Middle East Studies,CUP:MES,0020-7438,https://www.cambridge.org/core/product/identifier/MES/type/journal,1471-6380,Controlled,Total_Item_Investigations,31,0,0,0,0,3,6,0,2,12,4,2,2
International Journal of Middle East Studies,CUP:MES,0020-7438,https://www.cambridge.org/core/product/identifier/MES/type/journal,1471-6380,Controlled,Unique_Item_Investigations,30,0,0,0,0,3,5,0,2,12,4,2,2
International Journal of Middle East Studies,CUP:MES,0020-7438,https://www.cambridge.org/core/product/identifier/MES/type/journal,1471-6380,Controlled,Total_Item_Requests,1,0,0,0,0,0,1,0,0,0,0,0,0
International Journal of Middle East Studies,CUP:MES,0020-7438,https://www.cambridge.org/core/product/identifier/MES/type/journal,1471-6380,Controlled,Unique_Item_Requests,1,0,0,0,0,0,1,0,0,0,0,0,0
Journal of Global History,CUP:JGH,1740-0228,https://www.cambridge.org/core/product/identifier/JGH/type/journal,1740-0236,Controlled,Total_Item_Investigations,5,0,0,0,0,1,0,0,0,0,0,4,0
Journal of Global History,CUP:JGH,1740-0228,https://www.cambridge.org/core/product/identifier/JGH/type/journal,1740-0236,Controlled,Unique_Item_Investigations,2,0,0,0,0,1,0,0,0,0,0,1,0
Journal of Global History,CUP:JGH,1740-0228,https://www.cambridge.org/core/product/identifier/JGH/type/journal,1740-0236,Controlled,Total_Item_Requests,4,0,0,0,0,0,0,0,0,0,0,4,0
Journal of Global History,CUP:JGH,1740-0228,https://www.cambridge.org/core/product/identifier/JGH/type/journal,1740-0236,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,1,0
National Institute Economic Review,CUP:NIE,0027-9501,https://www.cambridge.org/core/product/identifier/NIE/type/journal,1741-3036,Controlled,Total_Item_Investigations,19,0,0,0,0,6,0,0,2,9,0,1,1
National Institute Economic Review,CUP:NIE,0027-9501,https://www.cambridge.org/core/product/identifier/NIE/type/journal,1741-3036,Controlled,Total_Item_Requests,8,0,0,0,0,3,0,0,2,3,0,0,0
National Institute Economic Review,CUP:NIE,0027-9501,https://www.cambridge.org/core/product/identifier/NIE/type/journal,1741-3036,Controlled,Unique_Item_Investigations,13,0,0,0,0,3,0,0,1,7,0,1,1
National Institute Economic Review,CUP:NIE,0027-9501,https://www.cambridge.org/core/product/identifier/NIE/type/journal,1741-3036,Controlled,Unique_Item_Requests,6,0,0,0,0,3,0,0,1,2,0,0,0
Wireless Power Transfer,CUP:WPT,,https://www.cambridge.org/core/product/identifier/WPT/type/journal,2052-8418,Controlled,Total_Item_Investigations,2,0,0,0,0,2,0,0,0,0,0,0,0
Wireless Power Transfer,CUP:WPT,,https://www.cambridge.org/core/product/identifier/WPT/type/journal,2052-8418,Controlled,Unique_Item_Investigations,2,0,0,0,0,2,0,0,0,0,0,0,0
PMLA / Publications of the Modern Language Association of America,CUP:MLA,0030-8129,https://www.cambridge.org/core/product/identifier/MLA/type/journal,1938-1530,Controlled,Total_Item_Investigations,5,0,0,0,0,0,3,0,0,0,0,2,0
PMLA / Publications of the Modern Language Association of America,CUP:MLA,0030-8129,https://www.cambridge.org/core/product/identifier/MLA/type/journal,1938-1530,Controlled,Unique_Item_Investigations,4,0,0,0,0,0,3,0,0,0,0,1,0
